order,file,record,doi,reference_classes,objects,unrecognizable,why
1,01_M202400098N00219F01.jpg,M-202400098-N00219,https://doi.org/10.71928/M-202400098-N00219,fibula,1,0,a whole fibula; the easy start
2,02_M202400071N00009F01.jpg,M-202400071-N00009,https://doi.org/10.71928/M-202400071-N00009,coin,3,0,"three coins; a group, several boxes"
3,03_C202109132N00575F01.jpg,C-202109132-N00575,https://doi.org/10.71928/C-202109132-N00575,fibula,1,0,a fibula missing its pin; fragment or damaged?
4,04_M202101534N00375F02.jpg,M-202101534-N00375,https://doi.org/10.71928/M-202101534-N00375,pendant,1,0,"PLANTED: a pierced coin, recorded as a pendant"
5,05_M202301170N00252F01.jpg,M-202301170-N00252,https://doi.org/10.71928/M-202301170-N00252,buckle,1,0,a buckle frame
6,06_M202300130N00146F02.jpg,M-202300130-N00146,https://doi.org/10.71928/M-202300130-N00146,mount,1,0,PLANTED: a crescent recorded as a mount; reads as a pendant
7,07_M202105244N00015F01.jpg,M-202105244-N00015,https://doi.org/10.71928/M-202105244-N00015,circle/ring,3,0,"rings, one lying inside another; circle/ring or finger ring, and occlusion"
8,08_M202105567N00005F01.jpg,M-202105567-N00005,https://doi.org/10.71928/M-202105567-N00005,amorphous fragment/object; coin,4,0,PLANTED: coins fused into a corroded lump; how many objects?
9,09_M202400071N00027F02.jpg,M-202400071-N00027,https://doi.org/10.71928/M-202400071-N00027,buckle; spur,4,0,"a spur with its rowel, a buckle and fittings; which parts get their own box?"
10,10_M202301170N00112F01.jpg,M-202301170-N00112,https://doi.org/10.71928/M-202301170-N00112,clothing pin,1,1,a pin head the recorder marked unrecognizable
