category,n,pct
fibula,2320,21.58
coin,1986,18.48
mount,441,4.1
arrow/arrowhead,437,4.07
pendant,372,3.46
clothing pin,315,2.93
circle/ring,292,2.72
potsherd,253,2.35
bracelet,233,2.17
sickle,225,2.09
adornment,220,2.05
buckle,220,2.05
metal sheet,215,2.0
nail/rivet,201,1.87
axe,199,1.85
belt,183,1.7
bloom,147,1.37
spur,124,1.15
button,122,1.13
mordant,120,1.12
finger ring,117,1.09
blade/small blade,115,1.07
knife,112,1.04
rod/log,111,1.03
semiproduct/blank,91,0.85
exceptional object,84,0.78
spindle whorl,79,0.73
vessel,65,0.6
bead,64,0.6
phalera,62,0.58
clasp,60,0.56
chisel,55,0.51
instrument,53,0.49
dagger,52,0.48
spear/spearhead,51,0.47
lithics,49,0.46
token,46,0.43
rosary/medallion,44,0.41
harness component,42,0.39
amorphous fragment/object,40,0.37
horseshoe,40,0.37
tweezers,39,0.36
temple ring,35,0.33
weight,35,0.33
hammer axe,32,0.3
graver,30,0.28
clothing buckle,25,0.23
ingot,23,0.21
spike/hook,23,0.21
wire,23,0.21
zoomorphic sculpture/statue,19,0.18
shield part,17,0.16
jingle bell,16,0.15
awl,16,0.15
production waste,16,0.15
needle/pin,16,0.15
razor,15,0.14
whetstone,15,0.14
thimble,15,0.14
artistic/ritual object,15,0.14
handstone/saddle quern,14,0.13
armor component,13,0.12
stone core,12,0.11
wedge,12,0.11
cross,11,0.1
hammer/sledgehammer,10,0.09
armlet,9,0.08
mold,9,0.08
anklet,9,0.08
projectile/bullet/ammunition,9,0.08
dussack,9,0.08
raw material,9,0.08
colander,8,0.07
cold weapon,8,0.07
pan,7,0.07
endscraper,6,0.06
slag,6,0.06
bucket/situla,6,0.06
hammerstone,6,0.06
harness/transportation,5,0.05
sheath,5,0.05
utensil,5,0.05
bridle bit,5,0.05
sword,5,0.05
key,4,0.04
firearm,4,0.04
structural element component,4,0.04
costume component,3,0.03
club,3,0.03
chain necklace,3,0.03
firesteel,3,0.03
stove tile,3,0.03
earring,3,0.03
lock,3,0.03
bowl,3,0.03
game piece,3,0.03
spherical button,2,0.02
pipe,2,0.02
neck ring,2,0.02
anthropomorphic sculpture/statue,2,0.02
spoon,2,0.02
mattock/pickaxe,2,0.02
stirrup,2,0.02
chopper,2,0.02
ball/sphere,2,0.02
pitcher,2,0.02
ice skate,2,0.02
ore,2,0.02
written document,2,0.02
chain,2,0.02
cargo vehicle component,1,0.01
javelin/javelin head,1,0.01
